political_group,total,year
Communist Party of Nepal (Maoists),220,2008
Nepali Congress (NC),110,2008
Communist Party of Nepal (UML),103,2008
Madhesi People's Rights Forum Nepal,52,2008
Tarai Madhes Loktantrik Party,20,2008
Others,19,2008
Nepal Goodwill Party (Sadhvawana),9,2008
Communist Party of Nepal (Marxist Leninist),8,2008
National Democratic Party (Rastriya Prajatantra RPP),8,2008
People's Front Nepal (Janamorcha),7,2008
Communist Party of Nepal (Samyukta),5,2008
National Democratic Party Nepal (Rastriya Prajatantra RPP-N),4,2008
Nepal Workers and Peasants Party,4,2008
National People's Front (Rastriya Janamorcha),4,2008
Independents,2,2008
Nepali Congress (NC),196,2013
Communist Party of Nepal (UML),175,2013
Communist Party of Nepal (Maoists),80,2013
Rastriya Prajatantra Party Nepal,24,2013
"Madhesi Jana Adhikar Forum, Nepal (Loktantrik)",14,2013
National Democratic Party (RPP: Rashtriya Prajatantra Party),13,2013
Tarai Madhes Loktantrik Party,11,2013
"Madhesi Jana Adhikar Forum, Nepal",10,2013
Sadbhavana Party,6,2013
Communist Party of Nepal (Marxist Leninist),5,2013
Federal Socialist Party,5,2013
Nepal Workers' and Peasants' Party,4,2013
Terai Madhes Sadbhavana Party,3,2013
Rastriya Janamorcha,3,2013
Communist Party of Nepal (Unified),3,2013
Rashtriya Madhesh Samajwadi Party,3,2013
Independents,2,2013
Nepal Pariwar Dal,2,2013
Dalit Janajati Party,2,2013
"Tharuwat Tarai Party, Nepal",2,2013
Rastriya Janamukti Party,2,2013
Communist Party of Nepal (UML),121,2017
Nepali Congress (NC),63,2017
Communist Party of Nepal-Maoist Centre (CPN-MC),53,2017
Rastriya Janata Party Nepal (RJP),17,2017
Federal Socialist Forum Nepal (FSFN),16,2017
"Rastriya Prajatantra Party Nepal (RPP, National Democratic Party Nepal)",1,2017
Naya Shakti Party,1,2017
Rastriya Janamorcha,1,2017
Nepal Majdur Kisan (Nepal Workers Peasants Party),1,2017
Nepali Congress (NC),89,2022
"Communist Party of Nepal (Unified Marxist-Leninist, UML)",78,2022
Communist Party of Nepal-Maoist Centre (CPN-MC),32,2022
Rastriya Swatantra Party,20,2022
Rastriya Prajatantra Party Nepal (RPP),14,2022
"People's Socialist Party, Nepal",12,2022
Communist Party of Nepal (Unified Socialist),10,2022
Janamat Party,6,2022
"Democratic Socialist Party, Nepal",4,2022
People's Freedom Party,3,2022
Nepal Workers Peasants Party,1,2022
Rastriya Janamorcha,1,2022
Independents,5,2022
