Political Group,Total
Communist Party of Nepal (Maoists),220
Nepali Congress (NC),110
Communist Party of Nepal (UML),103
Madhesi People's Rights Forum Nepal,52
Tarai Madhes Loktantrik Party,20
Others,19
Nepal Goodwill Party (Sadhvawana),9
Communist Party of Nepal (Marxist Leninist),8
National Democratic Party (Rastriya Prajatantra RPP),8
People's Front Nepal (Janamorcha),7
Communist Party of Nepal (Samyukta),5
National Democratic Party Nepal (Rastriya Prajatantra RPP-N),4
Nepal Workers and Peasants Party,4
National People's Front (Rastriya Janamorcha),4
Independents,2
